seq,job_id,product,operation_type,processing_time,arrival_time,due_date,priority_weight,p_over_w_ratio,start_time,completion_time,waiting_time,flow_time,tardiness
129,J0619,Sensor Housing,Milling,19,448,512,1,19.0,1612,1631,1164,1183,1119
130,J0631,Brake Component,Drilling,19,154,245,4,4.75,1631,1650,1477,1496,1405
131,J0699,Brake Component,Drilling,19,420,501,4,4.75,1650,1669,1230,1249,1168
132,J0813,Sensor Housing,Drilling,19,159,237,1,19.0,1669,1688,1510,1529,1451
133,J0908,Sensor Housing,Milling,19,83,225,1,19.0,1688,1707,1605,1624,1482
134,J0941,Sensor Housing,Milling,19,284,354,1,19.0,1707,1726,1423,1442,1372
135,J0087,Brake Component,Drilling,20,134,176,5,4.0,1726,1746,1592,1612,1570
136,J0113,Sensor Housing,Milling,20,129,297,1,20.0,1746,1766,1617,1637,1469
137,J0289,Sensor Housing,Drilling,20,48,209,1,20.0,1766,1786,1718,1738,1577
138,J0407,Brake Component,Drilling,20,19,124,4,5.0,1786,1806,1767,1787,1682
139,J0412,Sensor Housing,Drilling,20,194,239,2,10.0,1806,1826,1612,1632,1587
140,J0489,Brake Component,Grinding,20,13,79,5,4.0,1826,1846,1813,1833,1767
141,J0785,Sensor Housing,Milling,20,19,178,1,20.0,1846,1866,1827,1847,1688
142,J0822,Brake Component,Drilling,20,157,238,4,5.0,1866,1886,1709,1729,1648
143,J0895,Brake Component,Drilling,20,424,591,4,5.0,1886,1906,1462,1482,1315
144,J0951,Sensor Housing,Drilling,20,131,161,2,10.0,1906,1926,1775,1795,1765
145,J0056,Sensor Housing,Milling,21,383,499,1,21.0,1926,1947,1543,1564,1448
146,J0065,Sensor Housing,Milling,21,231,389,1,21.0,1947,1968,1716,1737,1579
147,J0523,Brake Component,Drilling,21,138,299,4,5.25,1968,1989,1830,1851,1690
148,J0629,Brake Component,Drilling,21,3,149,4,5.25,1989,2010,1986,2007,1861
149,J0732,Brake Component,Drilling,21,274,394,4,5.25,2010,2031,1736,1757,1637
150,J0764,Sensor Housing,Milling,21,296,368,2,10.5,2031,2052,1735,1756,1684
151,J0945,Sensor Housing,Milling,21,113,201,1,21.0,2052,2073,1939,1960,1872
152,J0947,Sensor Housing,Milling,21,87,188,1,21.0,2073,2094,1986,2007,1906
153,J0988,Brake Component,Grinding,21,346,427,4,5.25,2094,2115,1748,1769,1688
154,J0032,Sensor Housing,Milling,22,51,191,1,22.0,2115,2137,2064,2086,1946
155,J0365,Brake Component,Grinding,22,163,231,5,4.4,2137,2159,1974,1996,1928
156,J0443,Brake Component,Drilling,22,495,566,5,4.4,2159,2181,1664,1686,1615
157,J0251,Sensor Housing,Milling,23,181,310,1,23.0,2181,2204,2000,2023,1894
158,J0359,Brake Component,Grinding,23,403,535,4,5.75,2204,2227,1801,1824,1692
159,J0377,Brake Component,Grinding,23,161,297,4,5.75,2227,2250,2066,2089,1953
160,J0399,Sensor Housing,Milling,23,248,338,1,23.0,2250,2273,2002,2025,1935
161,J0420,Brake Component,Drilling,23,292,397,4,5.75,2273,2296,1981,2004,1899
162,J0448,Brake Component,Drilling,23,63,200,4,5.75,2296,2319,2233,2256,2119
163,J0474,Brake Component,Grinding,23,395,463,5,4.6,2319,2342,1924,1947,1879
164,J0513,Sensor Housing,Milling,23,437,470,2,11.5,2342,2365,1905,1928,1895
165,J0681,Brake Component,Drilling,23,137,172,5,4.6,2365,2388,2228,2251,2216
166,J0794,Brake Component,Grinding,23,200,313,4,5.75,2388,2411,2188,2211,2098
167,J0841,Sensor Housing,Milling,23,221,357,1,23.0,2411,2434,2190,2213,2077
168,J0083,Brake Component,Grinding,24,137,282,4,6.0,2434,2458,2297,2321,2176
169,J0191,Brake Component,Grinding,24,332,401,5,4.8,2458,2482,2126,2150,2081
170,J0198,Brake Component,Drilling,24,452,540,4,6.0,2482,2506,2030,2054,1966
171,J0209,Brake Component,Grinding,24,104,169,5,4.8,2506,2530,2402,2426,2361
172,J0247,Brake Component,Drilling,24,419,522,4,6.0,2530,2554,2111,2135,2032
173,J0389,Brake Component,Drilling,24,310,369,5,4.8,2554,2578,2244,2268,2209
174,J0463,Brake Component,Drilling,24,57,203,4,6.0,2578,2602,2521,2545,2399
175,J0625,Brake Component,Drilling,24,493,651,4,6.0,2602,2626,2109,2133,1975
176,J0654,Sensor Housing,Milling,24,68,136,2,12.0,2626,2650,2558,2582,2514
177,J0834,Sensor Housing,Milling,24,347,517,1,24.0,2650,2674,2303,2327,2157
178,J0840,Brake Component,Grinding,24,473,601,4,6.0,2674,2698,2201,2225,2097
179,J0958,Brake Component,Drilling,24,383,472,4,6.0,2698,2722,2315,2339,2250
180,J0118,Engine Bracket,Milling,25,246,298,4,6.25,2722,2747,2476,2501,2449
181,J0141,Sensor Housing,Milling,25,82,149,2,12.5,2747,2772,2665,2690,2623
182,J0223,Sensor Housing,Milling,25,402,546,1,25.0,2772,2797,2370,2395,2251
183,J0243,Sensor Housing,Milling,25,439,561,1,25.0,2797,2822,2358,2383,2261
184,J0402,Brake Component,Grinding,25,14,84,5,5.0,2822,2847,2808,2833,2763
185,J0472,Gear Box Cover,Drilling,25,473,648,3,8.33,2847,2872,2374,2399,2224
186,J0545,Sensor Housing,Milling,25,146,320,1,25.0,2872,2897,2726,2751,2577
187,J0636,Sensor Housing,Milling,25,137,204,1,25.0,2897,2922,2760,2785,2718
188,J0640,Engine Bracket,Milling,25,96,243,3,8.33,2922,2947,2826,2851,2704
189,J0920,Sensor Housing,Milling,25,132,280,1,25.0,2947,2972,2815,2840,2692
190,J0937,Sensor Housing,Milling,25,99,261,1,25.0,2972,2997,2873,2898,2736
191,J0126,Gear Box Cover,Drilling,26,81,148,4,6.5,2997,3023,2916,2942,2875
192,J0447,Brake Component,Grinding,26,179,336,4,6.5,3023,3049,2844,2870,2713
193,J0657,Brake Component,Drilling,26,398,520,4,6.5,3049,3075,2651,2677,2555
194,J0768,Brake Component,Grinding,26,54,134,4,6.5,3075,3101,3021,3047,2967
195,J0071,Brake Component,Grinding,27,459,617,4,6.75,3101,3128,2642,2669,2511
196,J0073,Brake Component,Drilling,27,453,605,4,6.75,3128,3155,2675,2702,2550
197,J0094,Brake Component,Drilling,27,177,351,4,6.75,3155,3182,2978,3005,2831
198,J0106,Engine Bracket,Milling,27,422,554,3,9.0,3182,3209,2760,2787,2655
199,J0125,Brake Component,Grinding,27,360,490,4,6.75,3209,3236,2849,2876,2746
200,J0241,Brake Component,Drilling,27,82,184,4,6.75,3236,3263,3154,3181,3079
201,J0322,Brake Component,Drilling,27,263,345,4,6.75,3263,3290,3000,3027,2945
202,J0425,Brake Component,Drilling,27,148,235,4,6.75,3290,3317,3142,3169,3082
203,J0509,Engine Bracket,Milling,27,136,312,3,9.0,3317,3344,3181,3208,3032
204,J0612,Gear Box Cover,Drilling,27,409,485,3,9.0,3344,3371,2935,2962,2886
205,J0637,Brake Component,Drilling,27,229,373,4,6.75,3371,3398,3142,3169,3025
206,J0985,Brake Component,Grinding,27,18,136,4,6.75,3398,3425,3380,3407,3289
207,J0215,Brake Component,Drilling,28,461,506,5,5.6,3425,3453,2964,2992,2947
208,J0222,Gear Box Cover,Drilling,28,311,428,3,9.33,3453,3481,3142,3170,3053
209,J0418,Engine Bracket,Milling,28,92,230,3,9.33,3481,3509,3389,3417,3279
210,J0477,Brake Component,Drilling,28,172,257,4,7.0,3509,3537,3337,3365,3280
211,J0527,Brake Component,Grinding,28,482,583,4,7.0,3537,3565,3055,3083,2982
212,J0670,Brake Component,Grinding,28,479,550,4,7.0,3565,3593,3086,3114,3043
213,J0682,Brake Component,Drilling,28,404,518,4,7.0,3593,3621,3189,3217,3103
214,J0711,Brake Component,Drilling,28,490,637,4,7.0,3621,3649,3131,3159,3012
215,J0812,Engine Bracket,Milling,28,448,603,3,9.33,3649,3677,3201,3229,3074
216,J0943,Gear Box Cover,Drilling,28,60,115,4,7.0,3677,3705,3617,3645,3590
217,J0014,Brake Component,Grinding,29,477,551,4,7.25,3705,3734,3228,3257,3183
218,J0016,Gear Box Cover,Drilling,29,430,486,4,7.25,3734,3763,3304,3333,3277
219,J0070,Gear Box Cover,Drilling,29,343,421,3,9.67,3763,3792,3420,3449,3371
220,J0115,Gear Box Cover,Drilling,29,245,350,3,9.67,3792,3821,3547,3576,3471
221,J0182,Engine Bracket,Milling,29,460,575,3,9.67,3821,3850,3361,3390,3275
222,J0275,Brake Component,Grinding,29,358,399,5,5.8,3850,3879,3492,3521,3480
223,J0419,Brake Component,Grinding,29,136,236,4,7.25,3879,3908,3743,3772,3672
224,J0752,Brake Component,Grinding,29,372,432,5,5.8,3908,3937,3536,3565,3505
225,J0922,Engine Bracket,Milling,29,373,412,4,7.25,3937,3966,3564,3593,3554
226,J0026,Engine Bracket,Grinding,30,74,191,3,10.0,3966,3996,3892,3922,3805
227,J0082,Gear Box Cover,Drilling,30,142,226,4,7.5,3996,4026,3854,3884,3800
228,J0315,Brake Component,Grinding,30,128,259,4,7.5,4026,4056,3898,3928,3797
229,J0343,Brake Component,Drilling,30,252,383,4,7.5,4056,4086,3804,3834,3703
230,J0373,Engine Bracket,Milling,30,150,310,3,10.0,4086,4116,3936,3966,3806
231,J0578,Gear Box Cover,Drilling,30,20,151,3,10.0,4116,4146,4096,4126,3995
232,J0647,Engine Bracket,Milling,30,9,58,4,7.5,4146,4176,4137,4167,4118
233,J0997,Brake Component,Drilling,30,171,233,5,6.0,4176,4206,4005,4035,3973
234,J0999,Engine Bracket,Milling,30,135,180,4,7.5,4206,4236,4071,4101,4056
235,J0154,Brake Component,Drilling,31,497,673,4,7.75,4236,4267,3739,3770,3594
236,J0310,Engine Bracket,Grinding,31,72,237,3,10.33,4267,4298,4195,4226,4061
237,J0429,Brake Component,Grinding,31,70,207,4,7.75,4298,4329,4228,4259,4122
238,J0679,Brake Component,Drilling,31,181,261,4,7.75,4329,4360,4148,4179,4099
239,J0914,Brake Component,Drilling,31,27,166,4,7.75,4360,4391,4333,4364,4225
240,J0968,Brake Component,Drilling,31,69,236,4,7.75,4391,4422,4322,4353,4186
241,J0260,Brake Component,Grinding,32,265,401,4,8.0,4422,4454,4157,4189,4053
242,J0497,Engine Bracket,Milling,32,335,495,3,10.67,4454,4486,4119,4151,3991
243,J0677,Engine Bracket,Milling,32,61,150,3,10.67,4486,4518,4425,4457,4368
244,J0989,Gear Box Cover,Drilling,32,492,601,3,10.67,4518,4550,4026,4058,3949
245,J0104,Brake Component,Drilling,33,490,659,4,8.25,4550,4583,4060,4093,3924
246,J0555,Engine Bracket,Milling,33,351,509,3,11.0,4583,4616,4232,4265,4107
247,J0250,Brake Component,Grinding,34,313,389,4,8.5,4616,4650,4303,4337,4261
248,J0297,Brake Component,Grinding,34,483,625,4,8.5,4650,4684,4167,4201,4059
249,J0695,Engine Bracket,Grinding,34,321,480,3,11.33,4684,4718,4363,4397,4238
250,J0751,Brake Component,Grinding,34,335,420,4,8.5,4718,4752,4383,4417,4332
251,J0889,Engine Bracket,Milling,34,239,331,4,8.5,4752,4786,4513,4547,4455
252,J0173,Brake Component,Drilling,35,479,613,4,8.75,4786,4821,4307,4342,4208
253,J0305,Engine Bracket,Milling,35,492,592,3,11.67,4821,4856,4329,4364,4264
254,J0370,Gear Box Cover,Milling,35,350,534,3,11.67,4856,4891,4506,4541,4357
255,J0435,Engine Bracket,Grinding,35,7,179,3,11.67,4891,4926,4884,4919,4747
256,J0451,Gear Box Cover,Drilling,35,485,641,3,11.67,4926,4961,4441,4476,4320
257,J0678,Battery Module Cover,Milling,35,91,235,4,8.75,4961,4996,4870,4905,4761
258,J0800,Engine Bracket,Grinding,35,138,211,4,8.75,4996,5031,4858,4893,4820
259,J0875,Gear Box Cover,Milling,35,416,591,3,11.67,5031,5066,4615,4650,4475
260,J0878,Gear Box Cover,Milling,35,124,244,3,11.67,5066,5101,4942,4977,4857
261,J0011,Engine Bracket,Milling,36,357,443,3,12.0,5101,5137,4744,4780,4694
262,J0159,Brake Component,Grinding,36,114,190,4,9.0,5137,5173,5023,5059,4983
263,J0205,Brake Component,Grinding,36,396,472,4,9.0,5173,5209,4777,4813,4737
264,J0235,Gear Box Cover,Milling,36,438,523,4,9.0,5209,5245,4771,4807,4722
265,J0296,Brake Component,Grinding,36,219,359,4,9.0,5245,5281,5026,5062,4922
266,J0589,Brake Component,Drilling,36,378,464,4,9.0,5281,5317,4903,4939,4853
267,J0635,Gear Box Cover,Drilling,36,141,286,3,12.0,5317,5353,5176,5212,5067
268,J0656,Engine Bracket,Milling,36,445,620,3,12.0,5353,5389,4908,4944,4769
269,J0662,Gear Box Cover,Milling,36,128,219,4,9.0,5389,5425,5261,5297,5206
270,J0696,Brake Component,Grinding,36,465,650,4,9.0,5425,5461,4960,4996,4811
271,J0176,Engine Bracket,Grinding,37,287,390,3,12.33,5461,5498,5174,5211,5108
272,J0276,Brake Component,Drilling,37,34,119,4,9.25,5498,5535,5464,5501,5416
273,J0307,Gear Box Cover,Drilling,37,55,145,3,12.33,5535,5572,5480,5517,5427
274,J0437,Battery Module Cover,Milling,37,83,233,4,9.25,5572,5609,5489,5526,5376
275,J0482,Brake Component,Grinding,37,446,537,4,9.25,5609,5646,5163,5200,5109
276,J0638,Engine Bracket,Milling,37,123,216,3,12.33,5646,5683,5523,5560,5467
277,J0756,Brake Component,Grinding,37,442,593,4,9.25,5683,5720,5241,5278,5127
278,J0769,Brake Component,Grinding,37,274,392,4,9.25,5720,5757,5446,5483,5365
279,J0832,Gear Box Cover,Milling,37,272,421,3,12.33,5757,5794,5485,5522,5373
280,J0017,Gear Box Cover,Milling,38,374,534,3,12.67,5794,5832,5420,5458,5298
281,J0036,Brake Component,Drilling,38,175,314,4,9.5,5832,5870,5657,5695,5556
282,J0059,Engine Bracket,Grinding,38,31,154,3,12.67,5870,5908,5839,5877,5754
283,J0096,Gear Box Cover,Milling,38,43,169,3,12.67,5908,5946,5865,5903,5777
284,J0114,Engine Bracket,Milling,38,118,254,3,12.67,5946,5984,5828,5866,5730
285,J0178,Gear Box Cover,Milling,38,361,486,3,12.67,5984,6022,5623,5661,5536
286,J0193,Engine Bracket,Milling,38,49,217,3,12.67,6022,6060,5973,6011,5843
287,J0432,Engine Bracket,Milling,38,70,238,3,12.67,6060,6098,5990,6028,5860
288,J0579,Brake Component,Drilling,38,190,277,5,7.6,6098,6136,5908,5946,5859
289,J0659,Gear Box Cover,Drilling,38,165,246,3,12.67,6136,6174,5971,6009,5928
290,J0772,Brake Component,Drilling,38,446,554,4,9.5,6174,6212,5728,5766,5658
291,J0827,Engine Bracket,Milling,38,474,609,3,12.67,6212,6250,5738,5776,5641
292,J0870,Engine Bracket,Grinding,38,435,519,4,9.5,6250,6288,5815,5853,5769
293,J0972,Gear Box Cover,Milling,38,223,314,3,12.67,6288,6326,6065,6103,6012
294,J0046,Engine Bracket,Milling,39,52,156,3,13.0,6326,6365,6274,6313,6209
295,J0081,Engine Bracket,Grinding,39,274,426,3,13.0,6365,6404,6091,6130,5978
296,J0210,Battery Module Cover,Milling,39,208,282,5,7.8,6404,6443,6196,6235,6161
297,J0232,Gear Box Cover,Milling,39,65,190,3,13.0,6443,6482,6378,6417,6292
298,J0239,Engine Bracket,Grinding,39,130,270,3,13.0,6482,6521,6352,6391,6251
299,J0338,Brake Component,Drilling,39,231,329,4,9.75,6521,6560,6290,6329,6231
300,J0356,Brake Component,Grinding,39,65,225,4,9.75,6560,6599,6495,6534,6374
301,J0680,Engine Bracket,Milling,39,374,468,4,9.75,6599,6638,6225,6264,6170
302,J0803,Engine Bracket,Milling,39,179,336,3,13.0,6638,6677,6459,6498,6341
303,J0853,Engine Bracket,Milling,39,398,479,4,9.75,6677,6716,6279,6318,6237
304,J0960,Gear Box Cover,Milling,39,244,432,3,13.0,6716,6755,6472,6511,6323
305,J0991,Brake Component,Grinding,39,332,516,4,9.75,6755,6794,6423,6462,6278
306,J0105,Brake Component,Grinding,40,368,467,4,10.0,6794,6834,6426,6466,6367
307,J0133,Engine Bracket,Milling,40,497,642,3,13.33,6834,6874,6337,6377,6232
308,J0189,Brake Component,Grinding,40,235,415,4,10.0,6874,6914,6639,6679,6499
309,J0282,Brake Component,Grinding,40,172,254,4,10.0,6914,6954,6742,6782,6700
310,J0304,Engine Bracket,Grinding,40,120,224,3,13.33,6954,6994,6834,6874,6770
311,J0496,Brake Component,Grinding,40,187,372,4,10.0,6994,7034,6807,6847,6662
312,J0628,Gear Box Cover,Drilling,40,414,538,3,13.33,7034,7074,6620,6660,6536
313,J0759,Battery Module Cover,Assembly,40,176,235,5,8.0,7074,7114,6898,6938,6879
314,J0781,Battery Module Cover,Assembly,40,162,294,4,10.0,7114,7154,6952,6992,6860
315,J0793,Engine Bracket,Milling,40,101,252,3,13.33,7154,7194,7053,7093,6942
316,J0806,Battery Module Cover,Assembly,40,436,501,5,8.0,7194,7234,6758,6798,6733
317,J0935,Engine Bracket,Grinding,40,267,378,3,13.33,7234,7274,6967,7007,6896
318,J0938,Gear Box Cover,Drilling,40,328,441,3,13.33,7274,7314,6946,6986,6873
