seq,job_id,product,operation_type,processing_time,arrival_time,due_date,priority_weight,p_over_w_ratio,start_time,completion_time,waiting_time,flow_time,tardiness,weighted_completion
175,J0482,Brake Component,Grinding,37,446,537,4,9.25,3912,3949,3466,3503,3412,15796
176,J0756,Brake Component,Grinding,37,442,593,4,9.25,3949,3986,3507,3544,3393,15944
177,J0769,Brake Component,Grinding,37,274,392,4,9.25,3986,4023,3712,3749,3631,16092
178,J0222,Gear Box Cover,Drilling,28,311,428,3,9.33,4023,4051,3712,3740,3623,12153
179,J0418,Engine Bracket,Milling,28,92,230,3,9.33,4051,4079,3959,3987,3849,12237
180,J0812,Engine Bracket,Milling,28,448,603,3,9.33,4079,4107,3631,3659,3504,12321
181,J0036,Brake Component,Drilling,38,175,314,4,9.5,4107,4145,3932,3970,3831,16580
182,J0475,Sensor Housing,Drilling,19,336,389,2,9.5,4145,4164,3809,3828,3775,8328
183,J0601,Sensor Housing,Milling,19,153,190,2,9.5,4164,4183,4011,4030,3993,8366
184,J0772,Brake Component,Drilling,38,446,554,4,9.5,4183,4221,3737,3775,3667,16884
185,J0870,Engine Bracket,Grinding,38,435,519,4,9.5,4221,4259,3786,3824,3740,17036
186,J0825,Brake Component,Grinding,48,206,280,5,9.6,4259,4307,4053,4101,4027,21535
187,J0070,Gear Box Cover,Drilling,29,343,421,3,9.67,4307,4336,3964,3993,3915,13008
188,J0115,Gear Box Cover,Drilling,29,245,350,3,9.67,4336,4365,4091,4120,4015,13095
189,J0182,Engine Bracket,Milling,29,460,575,3,9.67,4365,4394,3905,3934,3819,13182
190,J0338,Brake Component,Drilling,39,231,329,4,9.75,4394,4433,4163,4202,4104,17732
191,J0356,Brake Component,Grinding,39,65,225,4,9.75,4433,4472,4368,4407,4247,17888
192,J0680,Engine Bracket,Milling,39,374,468,4,9.75,4472,4511,4098,4137,4043,18044
193,J0853,Engine Bracket,Milling,39,398,479,4,9.75,4511,4550,4113,4152,4071,18200
194,J0991,Brake Component,Grinding,39,332,516,4,9.75,4550,4589,4218,4257,4073,18356
195,J0231,Brake Component,Grinding,49,428,517,5,9.8,4589,4638,4161,4210,4121,23190
196,J0026,Engine Bracket,Grinding,30,74,191,3,10.0,4638,4668,4564,4594,4477,14004
197,J0062,Sensor Housing,Milling,10,72,214,1,10.0,4668,4678,4596,4606,4464,4678
198,J0105,Brake Component,Grinding,40,368,467,4,10.0,4678,4718,4310,4350,4251,18872
199,J0189,Brake Component,Grinding,40,235,415,4,10.0,4718,4758,4483,4523,4343,19032
200,J0225,Sensor Housing,Drilling,10,196,265,1,10.0,4758,4768,4562,4572,4503,4768
201,J0253,Brake Component,Grinding,50,81,156,5,10.0,4768,4818,4687,4737,4662,24090
202,J0268,Sensor Housing,Milling,10,133,290,1,10.0,4818,4828,4685,4695,4538,4828
203,J0282,Brake Component,Grinding,40,172,254,4,10.0,4828,4868,4656,4696,4614,19472
204,J0373,Engine Bracket,Milling,30,150,310,3,10.0,4868,4898,4718,4748,4588,14694
205,J0412,Sensor Housing,Drilling,20,194,239,2,10.0,4898,4918,4704,4724,4679,9836
206,J0496,Brake Component,Grinding,40,187,372,4,10.0,4918,4958,4731,4771,4586,19832
207,J0543,Sensor Housing,Drilling,10,289,411,1,10.0,4958,4968,4669,4679,4557,4968
208,J0578,Gear Box Cover,Drilling,30,20,151,3,10.0,4968,4998,4948,4978,4847,14994
209,J0613,Brake Component,Grinding,50,495,583,5,10.0,4998,5048,4503,4553,4465,25240
210,J0763,Sensor Housing,Milling,10,304,358,1,10.0,5048,5058,4744,4754,4700,5058
211,J0781,Battery Module Cover,Assembly,40,162,294,4,10.0,5058,5098,4896,4936,4804,20392
212,J0790,Sensor Housing,Drilling,10,222,353,1,10.0,5098,5108,4876,4886,4755,5108
213,J0890,Sensor Housing,Milling,10,73,143,1,10.0,5108,5118,5035,5045,4975,5118
214,J0951,Sensor Housing,Drilling,20,131,161,2,10.0,5118,5138,4987,5007,4977,10276
215,J0375,Drive Shaft,Lathe,51,31,133,5,10.2,5138,5189,5107,5158,5056,25945
216,J0175,Gear Box Cover,Milling,41,1,57,4,10.25,5189,5230,5188,5229,5173,20920
217,J0185,Battery Module Cover,Assembly,41,422,563,4,10.25,5230,5271,4808,4849,4708,21084
218,J0208,Brake Component,Drilling,41,167,295,4,10.25,5271,5312,5104,5145,5017,21248
219,J0566,Battery Module Cover,Milling,41,330,466,4,10.25,5312,5353,4982,5023,4887,21412
220,J0727,Brake Component,Grinding,41,97,178,4,10.25,5353,5394,5256,5297,5216,21576
221,J0775,Brake Component,Drilling,41,135,270,4,10.25,5394,5435,5259,5300,5165,21740
222,J0891,Battery Module Cover,Milling,41,261,390,4,10.25,5435,5476,5174,5215,5086,21904
223,J0310,Engine Bracket,Grinding,31,72,237,3,10.33,5476,5507,5404,5435,5270,16521
224,J0030,Drive Shaft,Grinding,52,97,172,5,10.4,5507,5559,5410,5462,5387,27795
225,J0348,Drive Shaft,Lathe,52,312,421,5,10.4,5559,5611,5247,5299,5190,28055
226,J0409,Drive Shaft,Grinding,52,51,161,5,10.4,5611,5663,5560,5612,5502,28315
227,J0330,Brake Component,Grinding,42,401,517,4,10.5,5663,5705,5262,5304,5188,22820
228,J0525,Brake Component,Grinding,42,110,240,4,10.5,5705,5747,5595,5637,5507,22988
229,J0643,Brake Component,Drilling,42,212,305,4,10.5,5747,5789,5535,5577,5484,23156
230,J0715,Brake Component,Drilling,42,364,454,4,10.5,5789,5831,5425,5467,5377,23324
231,J0764,Sensor Housing,Milling,21,296,368,2,10.5,5831,5852,5535,5556,5484,11704
232,J0850,Battery Module Cover,Assembly,42,275,371,4,10.5,5852,5894,5577,5619,5523,23576
233,J0946,Battery Module Cover,Milling,42,30,179,4,10.5,5894,5936,5864,5906,5757,23744
234,J0728,Brake Component,Grinding,53,134,221,5,10.6,5936,5989,5802,5855,5768,29945
235,J0497,Engine Bracket,Milling,32,335,495,3,10.67,5989,6021,5654,5686,5526,18063
236,J0677,Engine Bracket,Milling,32,61,150,3,10.67,6021,6053,5960,5992,5903,18159
237,J0989,Gear Box Cover,Drilling,32,492,601,3,10.67,6053,6085,5561,5593,5484,18255
238,J0027,Battery Module Cover,Milling,43,353,515,4,10.75,6085,6128,5732,5775,5613,24512
239,J0148,Battery Module Cover,Milling,43,351,514,4,10.75,6128,6171,5777,5820,5657,24684
240,J0518,Brake Component,Drilling,43,148,277,4,10.75,6171,6214,6023,6066,5937,24856
241,J0932,Battery Module Cover,Assembly,43,33,150,4,10.75,6214,6257,6181,6224,6107,25028
242,J0632,Drive Shaft,Grinding,54,471,540,5,10.8,6257,6311,5786,5840,5771,31555
243,J0886,Drive Shaft,Lathe,54,124,200,5,10.8,6311,6365,6187,6241,6165,31825
244,J0024,Engine Bracket,Grinding,44,77,140,4,11.0,6365,6409,6288,6332,6269,25636
245,J0033,Sensor Housing,Milling,11,314,446,1,11.0,6409,6420,6095,6106,5974,6420
246,J0206,Sensor Housing,Drilling,11,19,88,1,11.0,6420,6431,6401,6412,6343,6431
247,J0396,Brake Component,Drilling,44,252,349,4,11.0,6431,6475,6179,6223,6126,25900
248,J0422,Gear Box Cover,Milling,44,262,366,4,11.0,6475,6519,6213,6257,6153,26076
249,J0487,Brake Component,Grinding,44,297,486,4,11.0,6519,6563,6222,6266,6077,26252
250,J0503,Sensor Housing,Milling,11,89,210,1,11.0,6563,6574,6474,6485,6364,6574
251,J0541,Drive Shaft,Lathe,55,207,282,5,11.0,6574,6629,6367,6422,6347,33145
252,J0546,Battery Module Cover,Assembly,55,348,463,5,11.0,6629,6684,6281,6336,6221,33420
253,J0555,Engine Bracket,Milling,33,351,509,3,11.0,6684,6717,6333,6366,6208,20151
254,J0622,Brake Component,Drilling,44,287,383,4,11.0,6717,6761,6430,6474,6378,27044
255,J0666,Engine Bracket,Milling,44,144,198,4,11.0,6761,6805,6617,6661,6607,27220
256,J0721,Sensor Housing,Milling,11,205,343,1,11.0,6805,6816,6600,6611,6473,6816
257,J0734,Brake Component,Grinding,55,339,424,5,11.0,6816,6871,6477,6532,6447,34355
258,J0779,Sensor Housing,Milling,11,316,389,1,11.0,6871,6882,6555,6566,6493,6882
259,J0784,Brake Component,Drilling,44,112,286,4,11.0,6882,6926,6770,6814,6640,27704
260,J0884,Brake Component,Drilling,44,254,346,4,11.0,6926,6970,6672,6716,6624,27880
261,J0888,Brake Component,Drilling,44,284,420,4,11.0,6970,7014,6686,6730,6594,28056
262,J0911,EV Battery Case,Milling,55,394,519,5,11.0,7014,7069,6620,6675,6550,35345
263,J0916,Sensor Housing,Milling,11,147,199,1,11.0,7069,7080,6922,6933,6881,7080
264,J0401,Battery Module Cover,Assembly,56,431,509,5,11.2,7080,7136,6649,6705,6627,35680
265,J0531,EV Battery Case,Milling,56,336,450,5,11.2,7136,7192,6800,6856,6742,35960
266,J0021,Brake Component,Grinding,45,469,564,4,11.25,7192,7237,6723,6768,6673,28948
267,J0022,Brake Component,Grinding,45,281,383,4,11.25,7237,7282,6956,7001,6899,29128
268,J0040,Battery Module Cover,Milling,45,182,335,4,11.25,7282,7327,7100,7145,6992,29308
269,J0192,Battery Module Cover,Milling,45,218,312,4,11.25,7327,7372,7109,7154,7060,29488
270,J0257,Gear Box Cover,Milling,45,462,520,4,11.25,7372,7417,6910,6955,6897,29668
271,J0459,Brake Component,Grinding,45,397,540,4,11.25,7417,7462,7020,7065,6922,29848
272,J0485,Drive Shaft,Grinding,45,402,550,4,11.25,7462,7507,7060,7105,6957,30028
273,J0560,Brake Component,Grinding,45,425,598,4,11.25,7507,7552,7082,7127,6954,30208
274,J0592,Brake Component,Drilling,45,455,635,4,11.25,7552,7597,7097,7142,6962,30388
275,J0639,Battery Module Cover,Assembly,45,37,195,4,11.25,7597,7642,7560,7605,7447,30568
276,J0673,Brake Component,Grinding,45,46,213,4,11.25,7642,7687,7596,7641,7474,30748
277,J0683,Engine Bracket,Milling,45,352,436,4,11.25,7687,7732,7335,7380,7296,30928
278,J0695,Engine Bracket,Grinding,34,321,480,3,11.33,7732,7766,7411,7445,7286,23298
279,J0669,EV Battery Case,Milling,57,399,552,5,11.4,7766,7823,7367,7424,7271,39115
280,J0782,EV Battery Case,Milling,57,45,160,5,11.4,7823,7880,7778,7835,7720,39400
281,J0147,Gear Box Cover,Drilling,46,385,458,4,11.5,7880,7926,7495,7541,7468,31704
282,J0406,Battery Module Cover,Milling,46,229,362,4,11.5,7926,7972,7697,7743,7610,31888
283,J0493,Battery Module Cover,Assembly,46,209,346,4,11.5,7972,8018,7763,7809,7672,32072
284,J0513,Sensor Housing,Milling,23,437,470,2,11.5,8018,8041,7581,7604,7571,16082
285,J0740,Battery Module Cover,Milling,46,7,164,4,11.5,8041,8087,8034,8080,7923,32348
286,J0980,Drive Shaft,Grinding,46,227,399,4,11.5,8087,8133,7860,7906,7734,32532
287,J0006,Battery Module Cover,Assembly,58,214,289,5,11.6,8133,8191,7919,7977,7902,40955
288,J0921,Drive Shaft,Lathe,58,306,399,5,11.6,8191,8249,7885,7943,7850,41245
289,J0305,Engine Bracket,Milling,35,492,592,3,11.67,8249,8284,7757,7792,7692,24852
290,J0370,Gear Box Cover,Milling,35,350,534,3,11.67,8284,8319,7934,7969,7785,24957
291,J0435,Engine Bracket,Grinding,35,7,179,3,11.67,8319,8354,8312,8347,8175,25062
292,J0451,Gear Box Cover,Drilling,35,485,641,3,11.67,8354,8389,7869,7904,7748,25167
293,J0875,Gear Box Cover,Milling,35,416,591,3,11.67,8389,8424,7973,8008,7833,25272
294,J0878,Gear Box Cover,Milling,35,124,244,3,11.67,8424,8459,8300,8335,8215,25377
295,J0076,Drive Shaft,Grinding,47,173,316,4,11.75,8459,8506,8286,8333,8190,34024
296,J0078,Battery Module Cover,Assembly,47,470,570,4,11.75,8506,8553,8036,8083,7983,34212
