seq,job_id,product,operation_type,processing_time,arrival_time,due_date,priority_weight,p_over_w_ratio,start_time,completion_time,waiting_time,flow_time,tardiness
97,J0008,Battery Module Cover,Assembly,63,49,160,4,15.75,5442,5505,5393,5456,5345
98,J0193,Engine Bracket,Milling,38,49,217,3,12.67,5505,5543,5456,5494,5326
99,J0254,Drive Shaft,Lathe,107,49,175,5,21.4,5543,5650,5494,5601,5475
100,J0400,Engine Bracket,Grinding,57,49,244,3,19.0,5650,5707,5601,5658,5463
101,J0281,Gear Box Cover,Milling,43,50,215,3,14.33,5707,5750,5657,5700,5535
102,J0939,EV Battery Case,Assembly,63,50,260,5,12.6,5750,5813,5700,5763,5553
103,J0032,Sensor Housing,Milling,22,51,191,1,22.0,5813,5835,5762,5784,5644
104,J0337,Engine Bracket,Grinding,68,51,268,3,22.67,5835,5903,5784,5852,5635
105,J0409,Drive Shaft,Grinding,52,51,161,5,10.4,5903,5955,5852,5904,5794
106,J0506,Battery Module Cover,Assembly,41,51,135,5,8.2,5955,5996,5904,5945,5861
107,J0743,EV Battery Case,Assembly,93,51,209,5,18.6,5996,6089,5945,6038,5880
108,J0046,Engine Bracket,Milling,39,52,156,3,13.0,6089,6128,6037,6076,5972
109,J0132,EV Battery Case,Assembly,77,52,181,5,15.4,6128,6205,6076,6153,6024
110,J0676,Battery Module Cover,Milling,79,53,178,4,19.75,6205,6284,6152,6231,6106
111,J0278,Drive Shaft,Lathe,99,54,219,4,24.75,6284,6383,6230,6329,6164
112,J0768,Brake Component,Grinding,26,54,134,4,6.5,6383,6409,6329,6355,6275
113,J0868,Gear Box Cover,Milling,56,54,196,3,18.67,6409,6465,6355,6411,6269
114,J0307,Gear Box Cover,Drilling,37,55,145,3,12.33,6465,6502,6410,6447,6357
115,J0325,Drive Shaft,Grinding,78,55,267,4,19.5,6502,6580,6447,6525,6313
116,J0457,Drive Shaft,Lathe,96,55,199,4,24.0,6580,6676,6525,6621,6477
117,J0562,Engine Bracket,Grinding,42,56,195,3,14.0,6676,6718,6620,6662,6523
118,J0463,Brake Component,Drilling,24,57,203,4,6.0,6718,6742,6661,6685,6539
119,J0704,Engine Bracket,Grinding,74,57,232,3,24.67,6742,6816,6685,6759,6584
120,J0540,Sensor Housing,Milling,14,58,189,1,14.0,6816,6830,6758,6772,6641
121,J0417,Engine Bracket,Milling,55,59,172,3,18.33,6830,6885,6771,6826,6713
122,J0689,EV Battery Case,Assembly,102,59,210,5,20.4,6885,6987,6826,6928,6777
123,J0227,Drive Shaft,Lathe,91,60,249,4,22.75,6987,7078,6927,7018,6829
124,J0943,Gear Box Cover,Drilling,28,60,115,4,7.0,7078,7106,7018,7046,6991
125,J0128,Engine Bracket,Grinding,50,61,151,3,16.67,7106,7156,7045,7095,7005
126,J0129,Engine Bracket,Grinding,55,61,181,3,18.33,7156,7211,7095,7150,7030
127,J0404,EV Battery Case,Milling,114,61,226,5,22.8,7211,7325,7150,7264,7099
128,J0677,Engine Bracket,Milling,32,61,150,3,10.67,7325,7357,7264,7296,7207
129,J0967,Engine Bracket,Milling,60,61,214,3,20.0,7357,7417,7296,7356,7203
130,J0449,Battery Module Cover,Milling,42,62,122,5,8.4,7417,7459,7355,7397,7337
131,J0462,Battery Module Cover,Assembly,56,62,213,4,14.0,7459,7515,7397,7453,7302
132,J0448,Brake Component,Drilling,23,63,200,4,5.75,7515,7538,7452,7475,7338
133,J0843,EV Battery Case,Assembly,92,63,199,5,18.4,7538,7630,7475,7567,7431
134,J0221,EV Battery Case,Assembly,79,64,188,5,15.8,7630,7709,7566,7645,7521
135,J0535,Sensor Housing,Milling,14,64,169,1,14.0,7709,7723,7645,7659,7554
136,J0232,Gear Box Cover,Milling,39,65,190,3,13.0,7723,7762,7658,7697,7572
137,J0356,Brake Component,Grinding,39,65,225,4,9.75,7762,7801,7697,7736,7576
138,J0984,Drive Shaft,Grinding,91,65,277,4,22.75,7801,7892,7736,7827,7615
139,J0060,Gear Box Cover,Drilling,57,66,230,3,19.0,7892,7949,7826,7883,7719
140,J0086,Gear Box Cover,Drilling,64,66,185,4,16.0,7949,8013,7883,7947,7828
141,J0371,Sensor Housing,Milling,8,66,149,1,8.0,8013,8021,7947,7955,7872
142,J0236,Drive Shaft,Lathe,74,67,243,4,18.5,8021,8095,7954,8028,7852
143,J0466,Gear Box Cover,Milling,67,67,226,3,22.33,8095,8162,8028,8095,7936
144,J0844,Drive Shaft,Grinding,81,67,278,4,20.25,8162,8243,8095,8176,7965
145,J1000,Sensor Housing,Milling,13,67,213,1,13.0,8243,8256,8176,8189,8043
146,J0194,Gear Box Cover,Milling,49,68,236,3,16.33,8256,8305,8188,8237,8069
147,J0654,Sensor Housing,Milling,24,68,136,2,12.0,8305,8329,8237,8261,8193
148,J0573,Engine Bracket,Milling,48,69,204,3,16.0,8329,8377,8260,8308,8173
149,J0675,Brake Component,Drilling,16,69,154,4,4.0,8377,8393,8308,8324,8239
150,J0720,Gear Box Cover,Drilling,56,69,270,3,18.67,8393,8449,8324,8380,8179
151,J0968,Brake Component,Drilling,31,69,236,4,7.75,8449,8480,8380,8411,8244
152,J0069,Engine Bracket,Milling,53,70,213,3,17.67,8480,8533,8410,8463,8320
153,J0429,Brake Component,Grinding,31,70,207,4,7.75,8533,8564,8463,8494,8357
154,J0432,Engine Bracket,Milling,38,70,238,3,12.67,8564,8602,8494,8532,8364
155,J0107,Drive Shaft,Grinding,109,71,316,4,27.25,8602,8711,8531,8640,8395
156,J0143,EV Battery Case,Milling,82,71,224,5,16.4,8711,8793,8640,8722,8569
157,J0757,Battery Module Cover,Assembly,52,71,261,4,13.0,8793,8845,8722,8774,8584
158,J0062,Sensor Housing,Milling,10,72,214,1,10.0,8845,8855,8773,8783,8641
159,J0310,Engine Bracket,Grinding,31,72,237,3,10.33,8855,8886,8783,8814,8649
160,J0923,Sensor Housing,Drilling,7,72,211,1,7.0,8886,8893,8814,8821,8682
161,J0508,Drive Shaft,Lathe,91,73,249,4,22.75,8893,8984,8820,8911,8735
162,J0890,Sensor Housing,Milling,10,73,143,1,10.0,8984,8994,8911,8921,8851
163,J0026,Engine Bracket,Grinding,30,74,191,3,10.0,8994,9024,8920,8950,8833
164,J0798,Gear Box Cover,Drilling,54,74,195,3,18.0,9024,9078,8950,9004,8883
165,J0360,Battery Module Cover,Milling,74,75,278,4,18.5,9078,9152,9003,9077,8874
166,J0705,Drive Shaft,Lathe,116,76,210,5,23.2,9152,9268,9076,9192,9058
167,J0024,Engine Bracket,Grinding,44,77,140,4,11.0,9268,9312,9191,9235,9172
168,J0842,Drive Shaft,Grinding,61,77,286,4,15.25,9312,9373,9235,9296,9087
169,J0303,EV Battery Case,Assembly,106,79,317,5,21.2,9373,9479,9294,9400,9162
170,J0414,Drive Shaft,Lathe,54,80,202,4,13.5,9479,9533,9399,9453,9331
171,J0498,Engine Bracket,Grinding,70,80,294,3,23.33,9533,9603,9453,9523,9309
172,J0576,Gear Box Cover,Drilling,71,80,268,3,23.67,9603,9674,9523,9594,9406
173,J0126,Gear Box Cover,Drilling,26,81,148,4,6.5,9674,9700,9593,9619,9552
174,J0238,Sensor Housing,Drilling,13,81,212,1,13.0,9700,9713,9619,9632,9501
175,J0253,Brake Component,Grinding,50,81,156,5,10.0,9713,9763,9632,9682,9607
176,J0828,Battery Module Cover,Milling,75,81,236,4,18.75,9763,9838,9682,9757,9602
177,J0141,Sensor Housing,Milling,25,82,149,2,12.5,9838,9863,9756,9781,9714
178,J0241,Brake Component,Drilling,27,82,184,4,6.75,9863,9890,9781,9808,9706
179,J0820,Drive Shaft,Grinding,86,82,271,4,21.5,9890,9976,9808,9894,9705
180,J0912,Engine Bracket,Milling,59,82,171,4,14.75,9976,10035,9894,9953,9864
181,J0437,Battery Module Cover,Milling,37,83,233,4,9.25,10035,10072,9952,9989,9839
182,J0908,Sensor Housing,Milling,19,83,225,1,19.0,10072,10091,9989,10008,9866
183,J0292,Drive Shaft,Lathe,113,84,247,5,22.6,10091,10204,10007,10120,9957
184,J0339,Brake Component,Grinding,54,85,267,4,13.5,10204,10258,10119,10173,9991
185,J0242,Drive Shaft,Grinding,93,86,252,4,23.25,10258,10351,10172,10265,10099
186,J0616,Battery Module Cover,Assembly,53,86,272,4,13.25,10351,10404,10265,10318,10132
187,J0766,Engine Bracket,Milling,48,86,185,3,16.0,10404,10452,10318,10366,10267
188,J0598,Gear Box Cover,Drilling,59,87,210,3,19.67,10452,10511,10365,10424,10301
189,J0947,Sensor Housing,Milling,21,87,188,1,21.0,10511,10532,10424,10445,10344
190,J0517,EV Battery Case,Assembly,65,88,187,5,13.0,10532,10597,10444,10509,10410
191,J0760,Drive Shaft,Grinding,51,88,236,4,12.75,10597,10648,10509,10560,10412
192,J0816,Battery Module Cover,Assembly,65,88,275,4,16.25,10648,10713,10560,10625,10438
193,J0994,EV Battery Case,Assembly,113,88,226,5,22.6,10713,10826,10625,10738,10600
194,J0430,EV Battery Case,Assembly,105,89,209,5,21.0,10826,10931,10737,10842,10722
195,J0503,Sensor Housing,Milling,11,89,210,1,11.0,10931,10942,10842,10853,10732
196,J0995,Sensor Housing,Milling,12,89,232,1,12.0,10942,10954,10853,10865,10722
197,J0537,Drive Shaft,Lathe,85,90,228,5,17.0,10954,11039,10864,10949,10811
198,J0678,Battery Module Cover,Milling,35,91,235,4,8.75,11039,11074,10948,10983,10839
199,J0394,Brake Component,Drilling,17,92,186,4,4.25,11074,11091,10982,10999,10905
200,J0418,Engine Bracket,Milling,28,92,230,3,9.33,11091,11119,10999,11027,10889
201,J0738,Brake Component,Drilling,16,92,229,4,4.0,11119,11135,11027,11043,10906
202,J0930,Drive Shaft,Grinding,78,92,210,5,15.6,11135,11213,11043,11121,11003
203,J0977,Sensor Housing,Drilling,17,92,181,1,17.0,11213,11230,11121,11138,11049
204,J0486,Gear Box Cover,Drilling,44,94,280,3,14.67,11230,11274,11136,11180,10994
205,J0572,Drive Shaft,Grinding,93,94,272,4,23.25,11274,11367,11180,11273,11095
206,J0258,Battery Module Cover,Assembly,65,95,207,4,16.25,11367,11432,11272,11337,11225
207,J0824,EV Battery Case,Milling,99,95,294,5,19.8,11432,11531,11337,11436,11237
208,J0533,EV Battery Case,Assembly,80,96,229,5,16.0,11531,11611,11435,11515,11382
209,J0640,Engine Bracket,Milling,25,96,243,3,8.33,11611,11636,11515,11540,11393
210,J0815,Sensor Housing,Drilling,9,96,218,1,9.0,11636,11645,11540,11549,11427
211,J0030,Drive Shaft,Grinding,52,97,172,5,10.4,11645,11697,11548,11600,11525
212,J0203,Brake Component,Drilling,16,97,258,4,4.0,11697,11713,11600,11616,11455
213,J0727,Brake Component,Grinding,41,97,178,4,10.25,11713,11754,11616,11657,11576
214,J0510,Battery Module Cover,Assembly,62,98,249,4,15.5,11754,11816,11656,11718,11567
215,J0534,Sensor Housing,Drilling,14,98,141,2,7.0,11816,11830,11718,11732,11689
216,J0937,Sensor Housing,Milling,25,99,261,1,25.0,11830,11855,11731,11756,11594
217,J0075,Gear Box Cover,Drilling,51,100,202,3,17.0,11855,11906,11755,11806,11704
218,J0214,EV Battery Case,Milling,96,100,287,5,19.2,11906,12002,11806,11902,11715
219,J0190,Battery Module Cover,Assembly,72,101,233,4,18.0,12002,12074,11901,11973,11841
220,J0793,Engine Bracket,Milling,40,101,252,3,13.33,12074,12114,11973,12013,11862
221,J0992,Sensor Housing,Drilling,6,101,223,1,6.0,12114,12120,12013,12019,11897
222,J0145,Engine Bracket,Grinding,66,103,304,3,22.0,12120,12186,12017,12083,11882
223,J0433,Drive Shaft,Lathe,89,103,246,5,17.8,12186,12275,12083,12172,12029
224,J0862,Drive Shaft,Lathe,83,103,315,4,20.75,12275,12358,12172,12255,12043
225,J0209,Brake Component,Grinding,24,104,169,5,4.8,12358,12382,12254,12278,12213
226,J0876,Sensor Housing,Drilling,6,104,218,1,6.0,12382,12388,12278,12284,12170
227,J0009,Battery Module Cover,Assembly,79,105,292,4,19.75,12388,12467,12283,12362,12175
228,J0336,Drive Shaft,Lathe,51,107,281,4,12.75,12467,12518,12360,12411,12237
229,J0641,Sensor Housing,Drilling,5,108,248,1,5.0,12518,12523,12410,12415,12275
230,J0846,EV Battery Case,Milling,93,109,281,5,18.6,12523,12616,12414,12507,12335
231,J0874,Brake Component,Drilling,18,109,235,4,4.5,12616,12634,12507,12525,12399
232,J0093,Battery Module Cover,Milling,79,110,272,4,19.75,12634,12713,12524,12603,12441
233,J0525,Brake Component,Grinding,42,110,240,4,10.5,12713,12755,12603,12645,12515
234,J0615,Engine Bracket,Grinding,63,110,229,3,21.0,12755,12818,12645,12708,12589
235,J0801,Gear Box Cover,Milling,42,110,197,3,14.0,12818,12860,12708,12750,12663
236,J0848,Sensor Housing,Milling,15,111,176,2,7.5,12860,12875,12749,12764,12699
237,J0142,EV Battery Case,Milling,90,112,284,5,18.0,12875,12965,12763,12853,12681
238,J0784,Brake Component,Drilling,44,112,286,4,11.0,12965,13009,12853,12897,12723
239,J0309,EV Battery Case,Milling,99,113,332,5,19.8,13009,13108,12896,12995,12776
240,J0471,Sensor Housing,Milling,15,113,172,2,7.5,13108,13123,12995,13010,12951
241,J0741,Drive Shaft,Lathe,113,113,352,4,28.25,13123,13236,13010,13123,12884
242,J0945,Sensor Housing,Milling,21,113,201,1,21.0,13236,13257,13123,13144,13056
243,J0041,Battery Module Cover,Milling,75,114,329,4,18.75,13257,13332,13143,13218,13003
244,J0159,Brake Component,Grinding,36,114,190,4,9.0,13332,13368,13218,13254,13178
245,J0264,Drive Shaft,Grinding,67,115,255,4,16.75,13368,13435,13253,13320,13180
246,J0450,Battery Module Cover,Assembly,95,116,257,5,19.0,13435,13530,13319,13414,13273
247,J0594,Drive Shaft,Grinding,107,116,291,4,26.75,13530,13637,13414,13521,13346
248,J0661,Drive Shaft,Grinding,52,116,260,4,13.0,13637,13689,13521,13573,13429
249,J0114,Engine Bracket,Milling,38,118,254,3,12.67,13689,13727,13571,13609,13473
250,J0910,Gear Box Cover,Milling,56,118,259,3,18.67,13727,13783,13609,13665,13524
251,J0405,Engine Bracket,Grinding,66,119,310,3,22.0,13783,13849,13664,13730,13539
252,J0304,Engine Bracket,Grinding,40,120,224,3,13.33,13849,13889,13729,13769,13665
253,J0240,Brake Component,Grinding,52,121,217,4,13.0,13889,13941,13768,13820,13724
254,J0521,Gear Box Cover,Drilling,47,121,243,3,15.67,13941,13988,13820,13867,13745
255,J0600,Battery Module Cover,Assembly,65,121,198,5,13.0,13988,14053,13867,13932,13855
256,J0042,EV Battery Case,Assembly,111,122,367,5,22.2,14053,14164,13931,14042,13797
257,J0270,Gear Box Cover,Drilling,63,122,334,3,21.0,14164,14227,14042,14105,13893
258,J0714,Gear Box Cover,Drilling,47,122,283,3,15.67,14227,14274,14105,14152,13991
259,J0944,Engine Bracket,Grinding,60,122,293,3,20.0,14274,14334,14152,14212,14041
260,J0058,Brake Component,Grinding,52,123,256,4,13.0,14334,14386,14211,14263,14130
261,J0556,Gear Box Cover,Milling,80,123,257,4,20.0,14386,14466,14263,14343,14209
262,J0638,Engine Bracket,Milling,37,123,216,3,12.33,14466,14503,14343,14380,14287
263,J0097,EV Battery Case,Milling,93,124,262,5,18.6,14503,14596,14379,14472,14334
264,J0311,Gear Box Cover,Milling,82,124,301,3,27.33,14596,14678,14472,14554,14377
265,J0467,Battery Module Cover,Milling,52,124,310,4,13.0,14678,14730,14554,14606,14420
266,J0777,Drive Shaft,Lathe,79,124,343,4,19.75,14730,14809,14606,14685,14466
267,J0878,Gear Box Cover,Milling,35,124,244,3,11.67,14809,14844,14685,14720,14600
268,J0886,Drive Shaft,Lathe,54,124,200,5,10.8,14844,14898,14720,14774,14698
269,J0975,Engine Bracket,Milling,53,124,284,3,17.67,14898,14951,14774,14827,14667
270,J0332,Sensor Housing,Drilling,16,125,222,1,16.0,14951,14967,14826,14842,14745
271,J0778,Battery Module Cover,Assembly,92,125,248,5,18.4,14967,15059,14842,14934,14811
272,J0153,EV Battery Case,Milling,83,127,278,5,16.6,15059,15142,14932,15015,14864
273,J0990,EV Battery Case,Assembly,100,127,365,5,20.0,15142,15242,15015,15115,14877
274,J0199,Engine Bracket,Milling,50,128,282,3,16.67,15242,15292,15114,15164,15010
275,J0315,Brake Component,Grinding,30,128,259,4,7.5,15292,15322,15164,15194,15063
276,J0662,Gear Box Cover,Milling,36,128,219,4,9.0,15322,15358,15194,15230,15139
277,J0072,Drive Shaft,Grinding,63,129,291,4,15.75,15358,15421,15229,15292,15130
278,J0113,Sensor Housing,Milling,20,129,297,1,20.0,15421,15441,15292,15312,15144
279,J0130,Drive Shaft,Lathe,87,129,306,4,21.75,15441,15528,15312,15399,15222
280,J0323,Drive Shaft,Grinding,52,129,272,4,13.0,15528,15580,15399,15451,15308
281,J0707,Battery Module Cover,Milling,59,129,210,5,11.8,15580,15639,15451,15510,15429
282,J0117,Battery Module Cover,Assembly,61,130,319,4,15.25,15639,15700,15509,15570,15381
283,J0239,Engine Bracket,Grinding,39,130,270,3,13.0,15700,15739,15570,15609,15469
284,J0604,EV Battery Case,Assembly,112,130,275,5,22.4,15739,15851,15609,15721,15576
285,J0607,Sensor Housing,Milling,12,130,270,1,12.0,15851,15863,15721,15733,15593
286,J0709,Battery Module Cover,Milling,55,130,331,4,13.75,15863,15918,15733,15788,15587
287,J0906,Battery Module Cover,Milling,63,130,265,4,15.75,15918,15981,15788,15851,15716
288,J0931,Sensor Housing,Milling,17,130,259,1,17.0,15981,15998,15851,15868,15739
289,J0163,Drive Shaft,Grinding,55,131,280,4,13.75,15998,16053,15867,15922,15773
290,J0951,Sensor Housing,Drilling,20,131,161,2,10.0,16053,16073,15922,15942,15912
291,J0408,Sensor Housing,Milling,6,132,268,1,6.0,16073,16079,15941,15947,15811
292,J0789,Drive Shaft,Grinding,62,132,272,4,15.5,16079,16141,15947,16009,15869
293,J0920,Sensor Housing,Milling,25,132,280,1,25.0,16141,16166,16009,16034,15886
294,J0268,Sensor Housing,Milling,10,133,290,1,10.0,16166,16176,16033,16043,15886
295,J0553,Drive Shaft,Lathe,119,133,299,4,29.75,16176,16295,16043,16162,15996
296,J0087,Brake Component,Drilling,20,134,176,5,4.0,16295,16315,16161,16181,16139
297,J0728,Brake Component,Grinding,53,134,221,5,10.6,16315,16368,16181,16234,16147
298,J0102,EV Battery Case,Assembly,65,135,258,5,13.0,16368,16433,16233,16298,16175
299,J0775,Brake Component,Drilling,41,135,270,4,10.25,16433,16474,16298,16339,16204
300,J0999,Engine Bracket,Milling,30,135,180,4,7.5,16474,16504,16339,16369,16324
301,J0419,Brake Component,Grinding,29,136,236,4,7.25,16504,16533,16368,16397,16297
302,J0509,Engine Bracket,Milling,27,136,312,3,9.0,16533,16560,16397,16424,16248
303,J0083,Brake Component,Grinding,24,137,282,4,6.0,16560,16584,16423,16447,16302
304,J0098,Gear Box Cover,Milling,45,137,255,3,15.0,16584,16629,16447,16492,16374
305,J0636,Sensor Housing,Milling,25,137,204,1,25.0,16629,16654,16492,16517,16450
