job_id,product,operation_type,processing_time,arrival_time,due_date,priority_weight,pw_ratio
J0143,Exhaust Manifold,Milling,113,215,578,1,113.0
J0144,Exhaust Manifold,Drilling,86,456,777,2,43.0
J0145,CV Joint,Additive,98,267,503,5,19.6
J0146,EV Cooling Pipe,Milling,66,238,415,5,13.2
J0147,Thermal Pad,Drilling,114,125,283,3,38.0
J0148,Fuel Injector,Milling,101,237,629,5,20.2
J0149,Battery Module,Welding,8,253,369,3,2.67
J0150,EV Cooling Pipe,Lathe,32,181,279,3,10.67
J0151,Engine Bracket,Lathe,94,450,685,5,18.8
J0152,ABS Module,Lathe,29,43,133,4,7.25
J0153,Thermal Pad,Additive,102,123,468,4,25.5
J0154,Fuel Injector,Assembly,7,47,91,2,3.5
J0155,Control Module,Welding,36,156,361,5,7.2
J0156,CV Joint,Milling,75,271,434,4,18.75
J0157,Door Hinge,Milling,50,359,525,3,16.67
J0158,Chassis Frame,Assembly,34,61,144,3,11.33
J0159,Precision Shaft,Drilling,73,486,754,2,36.5
J0160,Turbo Housing,Lathe,99,247,487,5,19.8
J0161,Gear Box Cover,Milling,41,51,141,3,13.67
J0162,Sensor Housing,Milling,27,154,184,5,5.4
J0163,Door Hinge,Assembly,10,498,514,5,2.0
J0164,Engine Bracket,Lathe,21,326,472,1,21.0
J0165,Suspension Arm,Drilling,41,240,403,4,10.25
J0166,Chassis Frame,Additive,11,129,260,4,2.75
J0167,Battery Cell Tray,Assembly,13,205,280,1,13.0
J0168,Battery Cell Tray,Milling,92,27,196,2,46.0
J0169,Exhaust Manifold,Lathe,15,127,172,5,3.0
J0170,Fuel Injector,Welding,81,404,600,5,16.2
J0171,Exhaust Manifold,Milling,61,152,433,5,12.2
J0172,Chassis Frame,Additive,77,317,409,5,15.4
J0173,EV Battery Case,Drilling,31,320,405,3,10.33
J0174,Battery Module,Grinding,35,88,264,1,35.0
J0175,ABS Module,Milling,57,230,463,5,11.4
J0176,Thermal Pad,Grinding,9,118,163,3,3.0
J0177,Precision Shaft,Welding,92,119,346,5,18.4
J0178,EV Cooling Pipe,Additive,19,278,354,2,9.5
J0179,Door Hinge,Lathe,23,36,74,2,11.5
J0180,Thermal Pad,Grinding,100,422,813,3,33.33
J0181,EV Cooling Pipe,Lathe,64,352,493,4,16.0
J0182,Drive Shaft,Grinding,74,252,438,1,74.0
J0183,EV Cooling Pipe,Grinding,118,221,504,5,23.6
J0184,Battery Cell Tray,Grinding,16,117,138,3,5.33
J0185,Turbo Housing,Assembly,102,387,578,4,25.5
J0186,Battery Cell Tray,Welding,61,469,601,2,30.5
J0187,ABS Module,Milling,86,416,753,1,86.0
J0188,Battery Module,Milling,57,170,309,1,57.0
J0189,Fuel Injector,Additive,57,355,538,3,19.0
J0190,EV Battery Case,Milling,102,281,401,4,25.5
J0191,Turbo Housing,Additive,37,165,231,4,9.25
J0192,Exhaust Manifold,Grinding,5,336,410,4,1.25
J0193,ABS Module,Assembly,29,265,386,5,5.8
J0194,EV Cooling Pipe,Lathe,61,389,463,2,30.5
J0195,ABS Module,Grinding,21,474,568,4,5.25
J0196,Gear Box Cover,Assembly,8,498,586,5,1.6
J0197,CV Joint,Welding,25,159,325,1,25.0
J0198,Chassis Frame,Assembly,16,115,160,4,4.0
J0199,Turbo Housing,Assembly,111,78,444,3,37.0
J0200,Gear Box Cover,Welding,39,212,374,4,9.75
J0201,Drive Shaft,Lathe,75,74,247,2,37.5
J0202,EV Cooling Pipe,Additive,100,450,619,1,100.0
J0203,Turbo Housing,Milling,106,437,755,3,35.33
J0204,Battery Cell Tray,Lathe,110,1,255,3,36.67
J0205,CV Joint,Welding,89,250,415,4,22.25
J0206,Fuel Injector,Welding,49,170,360,5,9.8
J0207,Battery Cell Tray,Welding,46,445,539,2,23.0
J0208,Suspension Arm,Assembly,34,438,577,1,34.0
J0209,Fuel Injector,Assembly,65,361,633,4,16.25
J0210,Brake Component,Drilling,106,420,603,4,26.5
J0211,Chassis Frame,Additive,69,494,714,3,23.0
J0212,Thermal Pad,Grinding,113,225,389,5,22.6
J0213,EV Battery Case,Welding,97,73,379,2,48.5
J0214,Drive Shaft,Assembly,105,496,736,3,35.0
J0215,CV Joint,Welding,55,332,407,3,18.33
J0216,CV Joint,Grinding,45,320,548,4,11.25
J0217,Gear Box Cover,Assembly,84,35,239,3,28.0
J0218,Thermal Pad,Drilling,16,222,263,1,16.0
J0219,Suspension Arm,Additive,93,153,260,1,93.0
J0220,Exhaust Manifold,Drilling,12,150,207,3,4.0
J0221,Battery Module,Drilling,36,271,412,5,7.2
J0222,Gear Box Cover,Welding,27,40,164,5,5.4
J0223,EV Cooling Pipe,Welding,79,73,270,4,19.75
J0224,Door Hinge,Assembly,37,341,380,4,9.25
J0225,Control Module,Lathe,74,80,172,4,18.5
J0226,Thermal Pad,Additive,43,327,478,3,14.33
J0227,Chassis Frame,Drilling,43,101,242,4,10.75
J0228,Door Hinge,Assembly,53,292,436,5,10.6
J0229,EV Cooling Pipe,Grinding,42,11,221,4,10.5
J0230,Drive Shaft,Assembly,77,442,694,1,77.0
J0231,Gear Box Cover,Lathe,68,426,725,3,22.67
J0232,Drive Shaft,Milling,107,180,399,2,53.5
J0233,Brake Component,Milling,91,386,547,1,91.0
J0234,Control Module,Assembly,105,225,347,5,21.0
J0235,Exhaust Manifold,Drilling,21,46,142,3,7.0
J0236,Turbo Housing,Lathe,30,67,235,3,10.0
J0237,ABS Module,Additive,39,425,506,3,13.0
J0238,Thermal Pad,Grinding,42,382,510,1,42.0
J0239,CV Joint,Milling,23,386,466,4,5.75
J0240,EV Cooling Pipe,Lathe,16,404,521,1,16.0
J0241,Battery Cell Tray,Welding,20,232,346,3,6.67
J0242,Gear Box Cover,Welding,110,326,626,1,110.0
J0243,Suspension Arm,Lathe,8,317,438,5,1.6
J0244,Door Hinge,Assembly,33,331,380,4,8.25
J0245,Brake Component,Milling,57,59,151,1,57.0
J0246,CV Joint,Drilling,68,59,151,2,34.0
J0247,Exhaust Manifold,Lathe,54,232,380,5,10.8
J0248,Chassis Frame,Additive,100,372,551,4,25.0
J0249,Brake Component,Assembly,67,315,486,3,22.33
J0250,Gear Box Cover,Additive,52,111,276,4,13.0
J0251,CV Joint,Assembly,51,50,276,3,17.0
J0252,Precision Shaft,Grinding,50,31,182,3,16.67
J0253,Precision Shaft,Assembly,113,421,766,1,113.0
J0254,Suspension Arm,Drilling,86,305,401,1,86.0
J0255,CV Joint,Drilling,21,402,475,1,21.0
J0256,Sensor Housing,Additive,80,110,309,3,26.67
J0257,Sensor Housing,Drilling,120,305,426,3,40.0
J0258,Chassis Frame,Assembly,74,128,406,2,37.0
J0259,Control Module,Additive,115,13,195,1,115.0
J0260,Engine Bracket,Drilling,105,121,527,3,35.0
J0261,Turbo Housing,Grinding,38,26,96,4,9.5
J0262,Control Module,Lathe,100,32,375,4,25.0
J0263,Gear Box Cover,Lathe,80,55,366,5,16.0
J0264,Door Hinge,Welding,10,372,482,5,2.0
J0265,ABS Module,Additive,87,493,595,1,87.0
J0266,ABS Module,Assembly,56,218,449,1,56.0
J0267,Drive Shaft,Drilling,61,37,118,3,20.33
J0268,Battery Cell Tray,Lathe,13,64,112,5,2.6
J0269,Turbo Housing,Milling,96,166,457,5,19.2
J0270,Chassis Frame,Additive,63,258,475,4,15.75
J0271,Exhaust Manifold,Welding,94,58,434,2,47.0
J0272,Thermal Pad,Welding,118,116,445,3,39.33
J0273,Exhaust Manifold,Milling,58,373,455,3,19.33
J0274,ABS Module,Grinding,90,130,411,2,45.0
J0275,Exhaust Manifold,Grinding,16,425,462,1,16.0
J0276,CV Joint,Grinding,100,378,668,2,50.0
J0277,Exhaust Manifold,Milling,80,489,737,1,80.0
J0278,Door Hinge,Lathe,116,340,672,1,116.0
J0279,Turbo Housing,Drilling,44,180,250,5,8.8
J0280,Chassis Frame,Milling,24,336,483,2,12.0
J0281,EV Cooling Pipe,Lathe,113,284,585,1,113.0
J0282,Drive Shaft,Lathe,33,413,555,5,6.6
J0283,EV Cooling Pipe,Grinding,91,329,433,5,18.2
J0284,Control Module,Grinding,28,139,246,3,9.33
J0285,Fuel Injector,Grinding,28,445,509,5,5.6
J0286,Turbo Housing,Drilling,23,379,409,1,23.0
J0287,Battery Module,Milling,53,214,383,3,17.67
J0288,Drive Shaft,Grinding,44,369,496,5,8.8
J0289,Drive Shaft,Grinding,118,26,223,2,59.0
J0290,Exhaust Manifold,Welding,91,41,271,4,22.75
J0291,Precision Shaft,Additive,82,226,520,3,27.33
J0292,Chassis Frame,Milling,70,58,216,4,17.5
J0293,Door Hinge,Grinding,91,347,687,5,18.2
J0294,Engine Bracket,Drilling,33,202,388,1,33.0
J0295,EV Cooling Pipe,Milling,43,484,581,2,21.5
J0296,Exhaust Manifold,Drilling,46,61,108,4,11.5
J0297,Turbo Housing,Lathe,21,194,351,2,10.5
J0298,Fuel Injector,Additive,111,342,634,1,111.0
J0299,Thermal Pad,Grinding,99,21,343,1,99.0
J0300,Battery Cell Tray,Welding,115,160,569,4,28.75
J0301,Chassis Frame,Welding,95,327,635,3,31.67
J0302,Drive Shaft,Welding,7,494,542,2,3.5
J0303,Exhaust Manifold,Additive,111,353,649,1,111.0
J0304,Fuel Injector,Lathe,18,124,253,5,3.6
J0305,Gear Box Cover,Milling,15,202,296,3,5.0
J0306,Chassis Frame,Lathe,104,86,229,5,20.8
J0307,Control Module,Assembly,70,99,400,3,23.33
J0308,Chassis Frame,Drilling,109,330,514,2,54.5
J0309,Sensor Housing,Additive,37,101,182,5,7.4
J0310,ABS Module,Welding,102,335,475,2,51.0
J0311,Battery Cell Tray,Assembly,101,288,685,4,25.25
J0312,Sensor Housing,Welding,86,319,570,3,28.67
J0313,EV Cooling Pipe,Lathe,13,240,309,3,4.33
J0314,Door Hinge,Welding,12,180,256,1,12.0
J0315,Door Hinge,Grinding,62,19,95,3,20.67
J0316,Drive Shaft,Lathe,87,442,575,5,17.4
J0317,Brake Component,Welding,54,236,438,5,10.8
J0318,Drive Shaft,Welding,108,292,496,3,36.0
J0319,Chassis Frame,Additive,69,77,161,4,17.25
J0320,Turbo Housing,Assembly,120,428,723,1,120.0
J0321,Thermal Pad,Lathe,27,20,110,4,6.75
J0322,Control Module,Milling,71,312,423,3,23.67
J0323,Drive Shaft,Grinding,54,209,461,3,18.0
J0324,Suspension Arm,Grinding,106,323,600,1,106.0
J0325,EV Cooling Pipe,Assembly,76,347,521,3,25.33
J0326,Suspension Arm,Grinding,114,336,758,2,57.0
J0327,Door Hinge,Assembly,79,339,490,3,26.33
J0328,Drive Shaft,Assembly,94,339,633,2,47.0
J0329,Sensor Housing,Assembly,15,158,269,3,5.0
J0330,Exhaust Manifold,Lathe,94,424,787,1,94.0
J0331,Battery Module,Drilling,51,9,152,3,17.0
J0332,Precision Shaft,Drilling,48,485,729,4,12.0
J0333,Chassis Frame,Lathe,22,79,120,3,7.33
J0334,Suspension Arm,Additive,103,276,648,1,103.0
J0335,Battery Module,Drilling,84,67,343,2,42.0
J0336,Thermal Pad,Grinding,111,354,784,2,55.5
J0337,Thermal Pad,Lathe,57,186,416,2,28.5
J0338,CV Joint,Drilling,41,385,540,2,20.5
J0339,Control Module,Assembly,44,494,658,2,22.0
J0340,Fuel Injector,Lathe,78,225,539,3,26.0
J0341,Drive Shaft,Drilling,72,214,327,2,36.0
J0342,Control Module,Lathe,116,128,270,4,29.0
J0343,Door Hinge,Grinding,18,364,514,1,18.0
J0344,Turbo Housing,Drilling,102,82,323,4,25.5
J0345,Thermal Pad,Milling,111,223,380,2,55.5
J0346,Turbo Housing,Milling,8,212,226,4,2.0
J0347,Gear Box Cover,Grinding,35,197,252,3,11.67
J0348,Sensor Housing,Drilling,45,476,546,3,15.0
J0349,Sensor Housing,Additive,9,146,272,4,2.25
J0350,Engine Bracket,Grinding,95,240,564,5,19.0
J0351,CV Joint,Assembly,7,131,165,2,3.5
J0352,Door Hinge,Drilling,82,270,568,1,82.0
J0353,Exhaust Manifold,Assembly,43,62,117,2,21.5
J0354,Chassis Frame,Additive,106,318,658,1,106.0
J0355,Engine Bracket,Assembly,120,255,680,5,24.0
J0356,Door Hinge,Welding,70,294,425,2,35.0
J0357,Battery Cell Tray,Welding,5,314,364,2,2.5
J0358,Control Module,Grinding,28,340,389,5,5.6
J0359,CV Joint,Grinding,72,278,479,5,14.4
J0360,Fuel Injector,Milling,54,447,621,1,54.0
J0361,EV Battery Case,Milling,37,382,423,3,12.33
J0362,Battery Cell Tray,Assembly,35,375,578,1,35.0
J0363,Control Module,Lathe,101,170,339,1,101.0
J0364,Thermal Pad,Assembly,48,416,628,2,24.0
J0365,EV Battery Case,Assembly,66,323,435,2,33.0
J0366,Door Hinge,Drilling,104,483,821,1,104.0
J0367,Suspension Arm,Milling,10,405,440,1,10.0
J0368,ABS Module,Milling,70,203,481,5,14.0
J0369,Door Hinge,Milling,9,385,476,2,4.5
J0370,EV Cooling Pipe,Grinding,115,399,538,3,38.33
J0371,Thermal Pad,Welding,107,188,518,4,26.75
J0372,ABS Module,Milling,48,498,593,4,12.0
J0373,Exhaust Manifold,Grinding,107,265,508,1,107.0
J0374,CV Joint,Milling,60,308,578,2,30.0
J0375,Door Hinge,Milling,46,52,118,3,15.33
J0376,Battery Module,Assembly,62,308,553,4,15.5
J0377,Control Module,Lathe,61,179,354,1,61.0
J0378,EV Battery Case,Assembly,60,140,363,1,60.0
J0379,Battery Module,Grinding,86,207,479,5,17.2
J0380,Sensor Housing,Grinding,23,434,569,1,23.0
J0381,Control Module,Welding,35,398,598,3,11.67
J0382,Thermal Pad,Milling,77,16,247,2,38.5
J0383,Battery Cell Tray,Drilling,52,227,474,1,52.0
J0384,EV Cooling Pipe,Drilling,72,187,360,3,24.0
J0385,Turbo Housing,Welding,19,13,79,4,4.75
J0386,Thermal Pad,Drilling,76,60,203,3,25.33
J0387,Chassis Frame,Drilling,83,146,480,2,41.5
J0388,Thermal Pad,Grinding,114,37,382,2,57.0
J0389,EV Battery Case,Lathe,108,349,620,3,36.0
J0390,Battery Module,Assembly,74,148,450,3,24.67
J0391,Turbo Housing,Drilling,95,474,658,3,31.67
J0392,ABS Module,Grinding,20,102,157,2,10.0
J0393,Thermal Pad,Additive,51,283,480,3,17.0
J0394,EV Battery Case,Milling,75,66,297,1,75.0
J0395,Turbo Housing,Welding,55,367,606,4,13.75
J0396,Sensor Housing,Milling,103,209,606,1,103.0
J0397,Turbo Housing,Milling,87,37,354,4,21.75
J0398,Battery Module,Additive,21,449,611,5,4.2
J0399,Chassis Frame,Lathe,21,221,370,1,21.0
J0400,Suspension Arm,Assembly,24,155,221,2,12.0
J0401,EV Battery Case,Milling,33,177,342,3,11.0
J0402,Sensor Housing,Assembly,30,325,496,3,10.0
J0403,Turbo Housing,Assembly,43,314,493,1,43.0
J0404,Battery Module,Assembly,26,303,477,2,13.0
J0405,Brake Component,Additive,84,368,624,5,16.8
J0406,Battery Cell Tray,Milling,115,14,170,1,115.0
J0407,Engine Bracket,Welding,88,107,408,5,17.6
J0408,Door Hinge,Welding,118,321,718,3,39.33
J0409,Thermal Pad,Grinding,36,412,551,3,12.0
J0410,Exhaust Manifold,Welding,93,30,203,4,23.25
J0411,Sensor Housing,Milling,64,104,255,5,12.8
J0412,Fuel Injector,Drilling,115,367,645,3,38.33
J0413,Chassis Frame,Milling,102,189,554,5,20.4
J0414,Thermal Pad,Drilling,35,238,304,3,11.67
J0415,Fuel Injector,Additive,23,49,84,3,7.67
J0416,Suspension Arm,Lathe,83,214,424,2,41.5
J0417,ABS Module,Lathe,97,160,354,2,48.5
J0418,ABS Module,Grinding,64,255,544,3,21.33
J0419,Thermal Pad,Drilling,16,483,599,5,3.2
J0420,Brake Component,Milling,32,298,420,1,32.0
J0421,Door Hinge,Lathe,68,305,598,4,17.0
J0422,Sensor Housing,Milling,6,433,452,4,1.5
J0423,Brake Component,Welding,98,187,491,3,32.67
J0424,Control Module,Lathe,11,291,373,2,5.5
J0425,Thermal Pad,Additive,41,37,176,5,8.2
J0426,Drive Shaft,Grinding,75,143,429,5,15.0
J0427,Control Module,Additive,21,499,544,4,5.25
J0428,Precision Shaft,Lathe,48,285,426,2,24.0
J0429,Brake Component,Grinding,70,205,403,1,70.0
J0430,Turbo Housing,Welding,22,365,472,4,5.5
J0431,Suspension Arm,Lathe,24,310,465,2,12.0
J0432,Door Hinge,Lathe,45,83,228,5,9.0
J0433,ABS Module,Assembly,48,259,437,5,9.6
J0434,Control Module,Milling,77,153,351,1,77.0
J0435,Door Hinge,Additive,91,56,360,5,18.2
J0436,Drive Shaft,Welding,120,371,813,1,120.0
J0437,Battery Cell Tray,Drilling,38,495,700,5,7.6
J0438,Turbo Housing,Assembly,97,26,368,2,48.5
J0439,Gear Box Cover,Grinding,97,317,608,2,48.5
J0440,Engine Bracket,Welding,78,485,619,2,39.0
J0441,Precision Shaft,Welding,45,214,297,4,11.25
J0442,Brake Component,Assembly,69,396,621,4,17.25
J0443,Suspension Arm,Assembly,22,265,340,5,4.4
J0444,Battery Module,Welding,66,269,431,3,22.0
J0445,EV Cooling Pipe,Lathe,73,175,387,3,24.33
J0446,CV Joint,Milling,66,98,227,3,22.0
J0447,Precision Shaft,Assembly,33,482,591,3,11.0
J0448,Control Module,Lathe,95,250,507,4,23.75
J0449,Chassis Frame,Lathe,106,369,615,3,35.33
J0450,Control Module,Additive,91,278,563,4,22.75
J0451,Door Hinge,Assembly,107,74,329,1,107.0
J0452,ABS Module,Drilling,15,177,305,3,5.0
J0453,CV Joint,Assembly,30,423,590,3,10.0
J0454,Battery Cell Tray,Drilling,39,70,136,5,7.8
J0455,Gear Box Cover,Assembly,36,25,232,5,7.2
J0456,Suspension Arm,Assembly,34,26,85,4,8.5
J0457,Engine Bracket,Lathe,65,51,290,2,32.5
J0458,Precision Shaft,Additive,25,208,354,4,6.25
J0459,EV Battery Case,Assembly,41,164,278,1,41.0
J0460,Exhaust Manifold,Additive,78,118,215,2,39.0
J0461,ABS Module,Drilling,27,478,514,4,6.75
J0462,Engine Bracket,Milling,100,492,740,1,100.0
J0463,Door Hinge,Welding,77,308,412,3,25.67
J0464,Sensor Housing,Additive,87,278,633,4,21.75
J0465,Chassis Frame,Milling,69,239,377,2,34.5
J0466,Battery Module,Grinding,25,374,516,3,8.33
J0467,Precision Shaft,Drilling,99,172,422,5,19.8
J0468,Turbo Housing,Milling,83,438,728,4,20.75
J0469,Sensor Housing,Welding,16,205,245,2,8.0
J0470,EV Cooling Pipe,Welding,46,479,588,1,46.0
J0471,Door Hinge,Lathe,35,228,331,3,11.67
J0472,Control Module,Assembly,97,293,395,3,32.33
J0473,Thermal Pad,Milling,35,31,236,1,35.0
J0474,Chassis Frame,Assembly,25,207,360,3,8.33
J0475,Gear Box Cover,Drilling,42,188,387,2,21.0
J0476,Control Module,Welding,66,78,260,5,13.2
J0477,Precision Shaft,Additive,94,281,616,5,18.8
J0478,Turbo Housing,Welding,36,348,536,1,36.0
J0479,Battery Cell Tray,Grinding,72,360,524,1,72.0
J0480,Precision Shaft,Lathe,12,424,506,5,2.4
J0481,Turbo Housing,Welding,73,76,191,3,24.33
J0482,ABS Module,Grinding,19,348,419,5,3.8
J0483,Thermal Pad,Drilling,120,261,609,1,120.0
J0484,Brake Component,Lathe,70,212,398,5,14.0
J0485,Engine Bracket,Welding,64,344,614,3,21.33
J0486,Battery Cell Tray,Grinding,37,418,455,2,18.5
J0487,CV Joint,Grinding,10,216,270,1,10.0
J0488,Door Hinge,Welding,119,35,395,1,119.0
J0489,Control Module,Welding,28,393,455,4,7.0
